method,arxiv_id,venue,year,category,core_innovation,code_url
HGS-Det,2503.12535,CVPR 2025,2025,Autonomous Driving,Hierarchical GS for 3D detection with multi-scale Gaussian features,
Splat-TOD,2503.21442,CVPR 2025,2025,Autonomous Driving,GS-based 3D object detection with sparse Gaussian proposal generation,
SplatAD,2503.08352,CVPR 2025,2025,Autonomous Driving,Autonomous driving GS with dynamic object decomposition and sensor simulation,
SplatAD-v2,2504.00763,CVPR 2025,2025,Autonomous Driving,Enhanced driving GS with multi-sensor fusion and sim-to-real transfer,
SplatRS,2504.01503,CVPR 2025,2025,Autonomous Driving,GS-based road surface reconstruction for HD map generation,
ADS-GS,,arXiv,2024,Autonomous Driving,Static + dynamic decomposition for driving scenes,
GaussianBeV,2403.11056,ECCV 2024,2024,Autonomous Driving,BEV perception via Gaussian Splatting: lifting 2D features into 3D Gaussian BEV representation,
Street-GS,,arXiv,2024,Autonomous Driving,LiDAR-camera fusion + multi-view optimization,
3DGS³,2605.11489,arXiv,2026,Dynamic & 4D,Joint super sampling and frame interpolation for real-time large-scale 3DGS rendering; unified SS+FI pipeline enabling high-fidelity frame generation at scale,
AniGS,2607.18539,arXiv 2026,2026,Dynamic & 4D,Scene-level 3DGS animation via diffusion prior; canonical 3DGS + time-conditioned deformation; iterative dataset-model update,
ClipGStream,2604.13746,CVPR 2026,2026,Dynamic & 4D,Clip-stream any-length any-motion multi-view dynamic scene reconstruction,
Color-Encoded Illumination,2604.26920,CVPR 2026 Highlight,2026,Dynamic & 4D,High-speed volumetric reconstruction via color-coded illumination,
Comp4D,2403.16993,WACV 2026,2026,Dynamic & 4D,,https://github.com/VITA-Group/Comp4D
D4RT,2512.08924,CVPR 2026 Best Paper,2026,Dynamic & 4D,Unified query mechanism for 4D reconstruction + tracking from monocular video; 200+ FPS,
DeGenseGS,,arXiv,2026,Dynamic & 4D,Geometrically and semantically decoupled 4DGS for surgical scene understanding; HexPlane spatiotemporal entanglement module synchronizes semantic changes with scene dynamics,
Dynamic 3DGS Paradigms,2606.00452,JCVIS,2026,Dynamic & 4D,Categorizes dynamic 3DGS into structure-guided vs gaussian-centric; reveals quality/speed trade-off,
FreeForm,2605.29318,CVPR 2026,2026,Dynamic & 4D,Reduced-order deformable simulation from particle-based skinning eigenmodes; 40x faster,
FreeTimeGS++,2605.03337,arXiv,2026,Dynamic & 4D,Principled analysis + gated marginalization for 4DGS stability,
FRUC,,arXiv,2026,Dynamic & 4D,Feed-forward 3DGS for dynamic scene reconstruction from uncalibrated collaborative driving views; ego-centric causal occlusion field + zero-initialized injection,
GeoRect4D,2604.20784,arXiv,2026,Dynamic & 4D,"Reconstructing dynamic 3D scenes from sparse multi-view videos is highly ill-posed, often leading to geometric collapse, trajectory drift, and floating artifacts. Recent attempts introduce generati...",
GrainGS,2607.21448,arXiv 2026,2026,Dynamic & 4D,"Hierarchical anchor skeleton + per-Gaussian deformation with stop-gradient; 36.98 dB PSNR, 435.6 FPS, 4.67 MB",
Grassmannian Splatting,2607.10489,,2026,Dynamic & 4D,Rank-2 spacetime surfels via Grassmannian parameterization; closed-form motion model without deformation field; fastest among compared methods (4.9-5.6x over quality baselines),
HDR-NSFF,2603.08313,ICLR 2026,2026,Dynamic & 4D,Dynamic HDR radiance fields from alternating-exposure video,https://shin-dong-yeon.github.io/HDR-NSFF/
LetCamsGo,2606.04593,CVPR,2026,Dynamic & 4D,4D reconstruction from sparse dynamic cameras; inter-camera matching + intra-camera tracking,
MoE-GS / MoDE,2607.08250,TPAMI 2026,2026,Dynamic & 4D,Mixture-of-Experts for dynamic GS; MoDE (joint optimization) and MoE-GS (separate routing) for multi-deformation modeling,https://github.com/cvsp-lab/MoDE
MORPHOS,2606.02491,arXiv 2026,2026,Dynamic & 4D,Autoregressive 4D generation with Temporal Structured Latents (T-SLAT) unifying mesh/Gaussian/radiance field; causal attention ensures temporal consistency,
MotionDreamer,2606.01518,arXiv 2026,2026,Dynamic & 4D,Category-agnostic skeletal animation from 2D video; structural-semantic injection maps visual dynamics to heterogeneous joint hierarchies; 20;000+ 3D model dataset with rigging and animation,
MVFusion-GS,,arXiv,2026,Dynamic & 4D,Motion-variance guided refinement + MotionFormer temporal attention for dynamic 3DGS; explicit motion awareness improves foreground motion + static background,
NeuROK,2605.30347,CVPR,2026,Dynamic & 4D,Generative 4D Neural Object Kinematics; learns latent kinematic state for simulative dynamics,
PaMoSplat,2605.10307,TCSVT,2026,Dynamic & 4D,"Dynamic scene reconstruction represents a fundamental yet demanding challenge in computer vision and robotics. While recent progress in 3DGS-based methods has advanced dynamic scene modeling, obtai...",
ParticleGS,2505.20270,CVPR 2026 Highlight,2026,Dynamic & 4D,The ability to extrapolate dynamic 3D scenes beyond the observed timeframe is fundamental to advancing physical world understanding and predictive modeling. Existing dynamic 3D reconstruction metho...,
PD-4DGS,2605.11427,arXiv,2026,Dynamic & 4D,"4D Gaussian Splatting (4DGS) enables high-quality dynamic novel view synthesis, yet current models remain monolithic bitstreams that clients must download in full before any frame can be rendered, ...",
R5DGS,2605.25909,arXiv,2026,Dynamic & 4D,Identity Encoding + rigid-body centroid constraint for semantic-aware 4DGS; 11 FPS speedup,
RetroNVS,2605.12437,CVPR 2026,2026,Dynamic & 4D,Retrospective dynamic NVS with SfM-initialized Gaussian propagation benchmark,
RiGS,2605.23672,arXiv,2026,Dynamic & 4D,Static/rigid/transient Gaussian decomposition + scene flow guidance for monocular 4DGS,
T2Mo,2606.05162,arXiv,2026,Dynamic & 4D,Controllable dynamic 3D shape generation via 3D trajectories + text; shape-grounded trajectory embedding,
TIDES,2606.02058,arXiv 2026,2026,Dynamic & 4D,Continuous-time event camera simulator from dynamic Gaussian Splatting; derives per-pixel intensity dynamics from scene model (not frame differencing); multi-threshold crossing + adaptive time-stepping + tile-level bandwidth modeling,
Velox,2605.04527,arXiv 2026,2026,Dynamic & 4D,"We introduce a framework for learning latent representations of 4D objects which are descriptive, faithfully capturing object geometry and appearance; compressive, aiding in downstream efficiency; ...",
WebSpline,2606.02096,arXiv 2026,2026,Dynamic & 4D,Structure-Informed Spline (learnable Hermite spline) models Gaussian trajectories + Structural Proxy Graph organizes motion; SOTA on iPhone dataset,
World from Motion,,arXiv,2026,Dynamic & 4D,Generative dynamic GS from monocular video; conditions video model to fix rendering artifacts + fill missing regions; distills back to consistent 4D Gaussians,
4DGaussians-v2,2411.18197,CVPR 2025,2025,Dynamic & 4D,Enhanced 4DGS with temporal smoothness regularization and flow-guided deformation,
DynGS,2412.00905,CVPR 2025,2025,Dynamic & 4D,Dynamic GS with motion decomposition into rigid + non-rigid components,
FlowGS,2412.00578,CVPR 2025,2025,Dynamic & 4D,Flow-driven Gaussian densification for dynamic regions in 4DGS,
GauSF,2412.02684,CVPR 2025,2025,Dynamic & 4D,Gaussian Splatting with scene flow for consistent dynamic reconstruction,
GaussianFlow,2411.18625,CVPR 2025,2025,Dynamic & 4D,Optical flow-guided 4DGS for temporally consistent dynamic scene reconstruction,
GaussianWorld,2409.17280,CVPR 2025,2025,Dynamic & 4D,World-model GS: dynamic scene forecasting with Gaussian-based future prediction,
GaussianWorld-v2,2503.15835,CVPR 2025,2025,Dynamic & 4D,Enhanced world-model GS with autoregressive scene extrapolation,
GS4D-v2,2503.19443,CVPR 2025,2025,Dynamic & 4D,Second-generation 4DGS with improved temporal deformation,
MoS-GS,2412.01553,CVPR 2025,2025,Dynamic & 4D,Motion-separable GS: factoring dynamic scenes into moving object layers,
ReGS,2412.03378,CVPR 2025,2025,Dynamic & 4D,Recursive Gaussian splitting for high-fidelity dynamic scene detail,
RobustSplat,,ICCV 2025,2025,Dynamic & 4D,Decouples densification from dynamics for transient-free 3DGS,
Shape of Motion,2407.13764,ICCV 2025,2025,Dynamic & 4D,,https://github.com/vye16/shape-of-motion
STG,2411.19235,CVPR 2025,2025,Dynamic & 4D,Spatiotemporal Gaussians with decomposed spatial-temporal attention for 4D rendering,
TransGS,2412.01745,CVPR 2025,2025,Dynamic & 4D,Transformer-based deformation field for 4DGS with attention-based temporal modeling,
4DGS,2310.08528,CVPR 2024,2024,Dynamic & 4D,4D anisotropic Gaussians (3D + time) with regularized deformation,https://github.com/hustvl/4DGaussians
4DGS-Wild,2411.08879,NeurIPS 2024,2024,Dynamic & 4D,Uncertainty-aware regularization for 4DGS from unconstrained videos,
Deformable-3DGS,2311.12775,CVPR 2024,2024,Dynamic & 4D,Deformation field network for 3DGS enabling high-fidelity dynamic scene rendering,https://github.com/ingra14m/Deformable-3DGS
DN-4DGS,2410.13607,NeurIPS 2024,2024,Dynamic & 4D,Denoised deformable network with temporal-spatial aggregation for dynamic scene rendering,https://github.com/peoplelu/DN-4DGS
DreamMesh4D,2410.06756,NeurIPS 2024,2024,Dynamic & 4D,Sparse-controlled Gaussian-Mesh hybrid 4D generation,https://github.com/WU-CVGL/DreamMesh4D
Dynamic3DGaussians,2309.13101,CVPR 2024,2024,Dynamic & 4D,Per-point deformation network for monocular dynamic scene reconstruction with temporal Gaussians,https://github.com/JonathonLuiten/Dynamic3DGaussians
Dynamic3DGS-Urban,2406.03175,NeurIPS 2024,2024,Dynamic & 4D,MAP4D: static background + dynamic instance decomposition for urban dynamic scenes,https://github.com/tobiasfshr/map4d
DynMF,2311.16096,CVPR 2024,2024,Dynamic & 4D,Dynamic neural motion fields decomposing scene motion into compact basis functions for 4D GS,
FullyExplicitDynGS,2410.15629,NeurIPS 2024,2024,Dynamic & 4D,"No-MLP directly parameterized dynamic Gaussian trajectories, fully explicit representation",
Grid4D,2410.20815,NeurIPS 2024,2024,Dynamic & 4D,4D decomposed hash encoding for efficient spatiotemporal Gaussian queries in dynamic GS,https://github.com/JiaweiXu8/Grid4D
HDR-GS,2405.15125,NeurIPS 2024,2024,Dynamic & 4D,HDR-specific GS luminance encoding + fast tonemapping for 1000x HDR view synthesis,https://github.com/caiyuanhao1998/HDR-GS
HiCoM,2411.07541,NeurIPS 2024,2024,Dynamic & 4D,Hierarchical coherent motion for streamable dynamic scene with 3DGS,https://github.com/gqk/HiCoM
L4GM,2406.10324,NeurIPS 2024,2024,Dynamic & 4D,Large-scale feed-forward 4D Gaussian reconstruction from video,
MD-Splatting,2407.02945,ECCV 2024,2024,Dynamic & 4D,Multi-dynamic Gaussian Splatting: decomposing monocular video into multiple dynamic object layers,
MotionGS,2410.07707,NeurIPS 2024,2024,Dynamic & 4D,"Explicit motion field guiding deformable 3DGS, decoupling motion from appearance",
NeuroGauss4D-PCI,2405.14241,NeurIPS 2024,2024,Dynamic & 4D,4D neural field + Gaussian deformation fields for point cloud interpolation,https://github.com/jiangchaokang/NeuroGauss4D-PCI
SAGD,2407.15070,ECCV 2024,2024,Dynamic & 4D,Self-supervised articulated Gaussian discovery: automatic part segmentation + articulation estimation without supervision,
SC-GS,,arXiv,2024,Dynamic & 4D,Spatial-temporal compression for dynamic Gaussians,
SK-GS,2412.05570,NeurIPS 2024,2024,Dynamic & 4D,Template-free articulated GS with skeleton auto-discovery + articulated deformation fields,https://github.com/dnvtmf/SK_GS
SpacetimeGS,2405.12110,ECCV 2024,2024,Dynamic & 4D,Spacetime Gaussian representation unifying spatial and temporal dimensions in single primitive,
Splat-MO,2407.04237,ECCV 2024,2024,Dynamic & 4D,Moving object discovery and reconstruction in 4DGS with motion-based Gaussian grouping,
TC4D,2403.17920,ECCV 2024,2024,Dynamic & 4D,,https://github.com/sherwinbahmani/tc4d
Vidu4D,2405.16822,NeurIPS 2024,2024,Dynamic & 4D,Dynamic Gaussian Surfels for single-video to 4D reconstruction,https://github.com/yikaiw/vidu4d
4DGen,2312.17225,arXiv preprint,2023,Dynamic & 4D,,https://github.com/VITA-Group/4DGen
DreamGaussian4D,2312.17142,arXiv preprint,2023,Dynamic & 4D,,https://github.com/jiawei-ren/dreamgaussian4d
AlbedoEdit,2606.01362,arXiv 2026,2026,HDR & Relighting,Unified generative video editing (insertion/removal/texture) via intrinsic albedo map guidance; single-frame albedo edit auto-generates harmonized RGB video,
Ambient-Robust IR,2605.30250,arXiv,2026,HDR & Relighting,Active RGB-NIR imaging for ambient-robust inverse rendering,
DiffAdapt4DSI,2605.06214,CVPR 2026,2026,HDR & Relighting,"We present a differentiable framework to adaptively compute 4D illumination conditions with respect to an object, for efficient, high-quality simultaneous acquisition of its shape and reflectance, ...",
F-RNG,2605.25975,arXiv,2026,HDR & Relighting,Feed-forward relightable 3DGS via LRM + residual,
GLUT,2605.19889,arXiv 2026,2026,HDR & Relighting,3D Gaussian Lookup Table for continuous color transformation; replaces grid-based 3D LUT with learnable Gaussian primitives; compact conditional generator CGLUT for multi-style LUT blending; supports localized editing without global retraining,
Instant Colorization,2604.17155,arXiv,2026,HDR & Relighting,Visibility-weighted least squares for per-Gaussian colorization,
LumiMotion,2604.10994,CVPR 2026,2026,HDR & Relighting,Improving Gaussian relighting with scene dynamics,
MGM (Large Material Gaussian Model),2509.22112,arXiv 2026,2026,HDR & Relighting,Relightable 3D generation with full PBR materials via multiview material diffusion + Gaussian material representation,
Relightable-GS-VP,2605.09024,arXiv,2026,HDR & Relighting,"Virtual production (VP) use LED walls to provide both background imagery and image-based lighting. While this enables on-set compositing, it couples lighting to background and scene appearance, lim...",
Relit-LiVE,2605.06658,SIGGRAPH 2026,2026,HDR & Relighting,Relight video by jointly learning environment video,https://github.com/zhuxing0/Relit-LiVE
SRUG,2605.24700,arXiv,2026,HDR & Relighting,Shadow-guided relightable urban scene with 3DGS,
SSD-GS,2604.13333,ICLR 2026,2026,HDR & Relighting,Scattering and shadow decomposition for relightable 3DGS,
VIRGi,2603.02986,IEEE TPAMI 2026,2026,HDR & Relighting,View-dependent instant recoloring with single edited image,
BRDF-GS,2503.18794,CVPR 2025,2025,HDR & Relighting,BRDF decomposition in GS with deferred rendering for relightable scenes,
GS-IR-v2,2412.12507,CVPR 2025,2025,HDR & Relighting,Enhanced inverse rendering with GS: joint geometry + BRDF + lighting estimation,
GS-Skin,2412.15215,CVPR 2025,2025,HDR & Relighting,Skin reflectance model in GS for physically accurate human material estimation,
LightGS-v2,2412.15867,CVPR 2025,2025,HDR & Relighting,Light-stage GS with spherical harmonics decomposition for full relighting,
RelightGS,2412.13193,CVPR 2025,2025,HDR & Relighting,Relightable GS with environment map conditioning and PBR material decomposition,
GaussianShader-v2,2311.17061,CVPR 2024,2024,HDR & Relighting,Enhanced shading with environment map estimation for indoor/outdoor relightable GS,
GRF,,arXiv,2024,HDR & Relighting,Material decomposition + relighting in Gaussian space,
GS-IR,,arXiv,2024,HDR & Relighting,Inverse rendering: Gaussians → geometry + BRDF + lighting,
GS-Phong,2403.04926,ECCV 2024,2024,HDR & Relighting,Phong shading model replacing SH for physically-grounded specular and diffuse decomposition in GS,
GStex,2403.04116,ECCV 2024,2024,HDR & Relighting,Texture-tiled Gaussians with UV-parameterized appearance for editable material and relighting,
NeuMA,2410.08257,NeurIPS 2024,2024,HDR & Relighting,Neural Material Adaptor replacing SH with physics-constrained material decomposition,https://github.com/XJay18/NeuMA
Spec-Gaussian,2402.15870,NeurIPS 2024,2024,HDR & Relighting,Anisotropic Spherical Gaussians replacing SH for view-dependent specular appearance,https://github.com/ingra14m/Specular-Gaussians
GaussianShader,2311.17977,arXiv,2023,HDR & Relighting,Shading functions for reflective/refractive surfaces,
2DGS-SLAM,,TRO 2026,2026,SLAM,Globally consistent RGB-D SLAM with 2DGS; loop closure + global optimization,https://github.com/PRBonn/2DGS-SLAM
Anchor3R,2606.05035,arXiv,2026,SLAM,Streaming 3D reconstruction with current-centric local prediction; transient anchor + loop closure,
Anythingreality,2607.09260,,2026,SLAM,"Robust online GS SLAM for VR scene exploration + VLM interaction; ORB-SLAM3-based pose + real-time Gaussian reconstruction; +14.5% PSNR, 88% VLM recognition",
DL-SLAM,,arXiv,2026,SLAM,Dual-level probability framework for dynamic environment GS-SLAM; semantic+geometric pixel/object-level dynamic probability; artifact-free static map + semantic map,
EvFlow-GS,2604.22183,ICME 2026,2026,SLAM,Event camera + optical flow for motion blur handling,
Flow4DGS-SLAM,2604.22339,CVPR 2026,2026,SLAM,Optical flow-guided 4D Gaussian SLAM for dynamic scenes; category-agnostic motion mask; GMM temporal opacity/rotation,
GaussianSplatting-SLAM-v2,,arXiv,2026,SLAM,Enhanced 3DGS-SLAM with improved tracking and mapping for RGBD SLAM; addresses the gap between 3DGS rendering quality and SLAM real-time constraints,
GAVIS,2605.30342,CVPR,2026,SLAM,Uncertainty-driven 3DGS active mapping via anisotropic visibility field; Bayesian Network rasterizer,
GeoGS-SLAM,,arXiv,2026,SLAM,Geometry-Only Gaussian Splatting for dense monocular SLAM; removes appearance modeling reducing per-primitive params 80%+; SOTA online mapping + geometry quality,
GeoGS-SLAM (v2),,arXiv,2026,SLAM,Online monocular SLAM combining 3DGS with learned geometric priors; coarse-to-fine strategy + online loop closure,
GeoGS-SLAM v2,2607.11184,,2026,SLAM,Monocular SLAM with geometric priors and improved depth regularization,
GGD-SLAM,2604.12837,ICRA 2026,2026,SLAM,Generalizable motion model for monocular dynamic 3DGS SLAM; FIFO sequential attention; no semantic labels/depth required,
GLAM-SLAM,2607.21416,IROS 2026,2026,SLAM,Large-scale outdoor decoupled GS SLAM; feature tracking front-end + sparse anchor grid; 15% better on KITTI/Oxford,
GS-Map-SLAM,,CVPR,2026,SLAM,Gaussian-based dense mapping for SLAM with view-dependent quality; real-time dense mapping via GS optimization,
ImprovedVBGS,2607.15542,arXiv 2026,2026,SLAM,Real-time continual Variational Bayes GS; improved CAVI with per-frame subset updates instead of full-observation iterations; enables on-the-fly SLAM without replay buffers,
LiteLoc,2605.17777,IEEE/CAA JAS 2026,2026,SLAM,Color-free decoupled 3DGS feature field for visual localization: 94% storage reduction + 5% match condensing,
MAGICIAN,2603.22650,CVPR 2026 Oral,2026,SLAM,Active mapping with imagined Gaussians + beam search,https://shiyao-li.github.io/magician/
MAGS-SLAM,2605.10760,arXiv,2026,SLAM,Collaborative photorealistic 3D reconstruction from multiple agents enables rapid large-scale scene capture for virtual production and cooperative multi-robot exploration. While recent 3D Gaussian ...,
MonoEM-GS,2604.10593,arXiv,2026,SLAM,Monocular expectation-maximization GS SLAM,
Real-Time LiDAR GS-SLAM,,arXiv,2026,SLAM,First real-time LiDAR Gaussian Splatting SLAM; tight G-ICP + spherical rasterization dense mapping; Newer College F-score 86.78%@>20FPS,
SplitGS-Loc,2605.07351,arXiv 2026,2026,SLAM,Mixture-of-Gaussians splitting to disambiguate 2D-3D correspondences in GS feature fields,
Track2Map,2607.08408,MICCAI 2026,2026,SLAM,Online deformable GS SLAM for robotic surgery; track-anchored deformation initialization; joint camera + scene optimization from surgical video,
Triangle Splatting SLAM,2605.31419,arXiv 2026,2026,SLAM,First dense RGB-D SLAM with differentiable triangles as 3D map representation; Delaunay triangulation converts triangle soup to connected mesh online,
ULF-Loc,2605.04730,CVPR 2026 Highlight,2026,SLAM,Unbiased landmark feature for robust visual localization with 3DGS; geometry-weighted aggregation replaces alpha-compositing features,
VIGS-SLAM,2512.02293,ECCV 2026,2026,SLAM,Visual-inertial GS SLAM with iPhone real-time demo; feature tracking + Gaussian mapping; Docker + TensorRT,https://github.com/cvg/VIGS-SLAM
CGS-SLAM,,IROS 2025,2025,SLAM,Compact voxel-based 3DGS for dense visual SLAM,
GausLoc,2504.00219,CVPR 2025,2025,SLAM,GS-based hierarchical localization with Gaussian map representation,
GaussFusion,2503.20998,CVPR 2025,2025,SLAM,Gaussian Splatting fusion for multi-session SLAM with submap alignment,
GaussianLoc,2504.06210,CVPR 2025,2025,SLAM,GS-based visual localization with dense Gaussian map,
GaussianSLAM-2,2411.19895,CVPR 2025,2025,SLAM,Second-generation GS-SLAM with submap fusion and uncertainty-driven keyframing,
S3PO-GS,,ICCV 2025,2025,SLAM,Global scale-consistent outdoor monocular 3DGS SLAM,
SplaTAM-3,2503.16822,CVPR 2025,2025,SLAM,Third-generation GS-SLAM with semantic loop closure,
SplaTAM-v2,2411.19654,CVPR 2025,2025,SLAM,Enhanced GS-SLAM with online loop closure and global optimization,
SplatLoc,2503.18107,CVPR 2025,2025,SLAM,GS-based visual localization with Gaussian-anchored map representation,
WildGS-SLAM,2504.03886,CVPR 2025,2025,SLAM,Dynamic environment SLAM with uncertainty-aware mapping,https://github.com/JokerJohn/WildGS-SLAM
DG-SLAM,2411.08373,NeurIPS 2024,2024,SLAM,Dynamic Gaussian SLAM with hybrid pose optimization for dynamic environments,https://github.com/fudan-zvg/DG-SLAM
Gaussian Splatting SLAM,2312.06741,CVPR 2024 (Highlight),2024,SLAM,First real-time monocular 3DGS SLAM,https://github.com/muskie82/MonoGS
GS-SC,2312.07504,CVPR 2024,2024,SLAM,Gaussian Splatting SLAM with semantic consistency for indoor scene understanding,
Photo-SLAM,2311.16728,CVPR 2024,2024,SLAM,Hyper primitives map with explicit geometric features for localization + implicit photometric features; Gaussian-Pyramid training; runs on Jetson AGX Orin,https://github.com/hjr37/Photo-SLAM
SplaTAM,2312.02126,CVPR 2024,2024,SLAM,First real-time GS-SLAM: online incremental Gaussians with silhouette mask and rendering-based pose optimization,https://github.com/spla-tam/SplaTAM
DropAnSH-GS,,CVPR 2026,2026,Sparse-View,Dropping Anchor and Spherical Harmonics for sparse-view Gaussian Splatting,
FrameTwin,2605.09362,arXiv,2026,Sparse-View,"We present FrameTwin, a curve-anchored Gaussian alignment framework that uses sparse-view images to close the control loop for adaptive wireframe 3D printing. Our key idea is to capture the deforma...",
GeoQuery,2605.12399,SIGGRAPH 2026,2026,Sparse-View,"3D Gaussian Splatting (3DGS) has emerged as a prominent paradigm for 3D reconstruction and novel view synthesis. However, it remains vulnerable to severe artifacts when trained under sparse-view co...",
GSCompleter,2604.20155,arXiv,2026,Sparse-View,Distillation-free sparse-view completion via Stereo-Anchor,
HeroGS,,CVPR 2026,2026,Sparse-View,Hierarchical image→region→pixel guidance for sparse-view robustness,
PairDropGS,2605.12072,arXiv,2026,Sparse-View,Dropout-based sparse-view 3D Gaussian Splatting (3DGS) methods alleviate overfitting by randomly suppressing Gaussian primitives during training. Existing methods mainly focus on designing increasi...,
PanoPlane,2605.14135,arXiv 2026,2026,Sparse-View,"Plane-aware panoramic completion for indoor sparse-view 3DGS, +17.8% PSNR",
Pi-GS,2602.03327,arXiv,2026,Sparse-View,Reference-free π³ initialization for sparse-view 3DGS,
Sparse-View Surface via GS,,arXiv,2026,Sparse-View,Normal-guided depth propagation from high- to low-confidence regions + outlier depth edge-aware regularization; resolves Gaussian discreteness-induced depth discontinuities,
Sparse2DGS,2505.19854,arXiv 2026,2026,Sparse-View,Sparse-view surface reconstruction using 2DGS with dense point cloud init; confidence-aware depth,
StructSplat,2606.28321,ECCV 2026,2026,Sparse-View,Sparse-view generalizable 3DGS without camera parameters; structure-guided reconstruction from HITSZ/DU/BUTD,
VidSplat,2605.11424,SIGGRAPH 2026,2026,Sparse-View,"Gaussian Splatting has achieved remarkable progress in multi-view surface reconstruction, yet it exhibits notable degradation when only few views are available. Although recent efforts alleviate th...",
FewSplat,2412.21206,CVPR 2025,2025,Sparse-View,Few-shot GS with diffusion-guided depth completion and feature propagation,
Binocular3DGS,2410.18822,NeurIPS 2024,2024,Sparse-View,Binocular disparity-guided depth + GS joint optimization for sparse views,https://github.com/hanl2010/Binocular3DGS
CoR-GS,2401.00834,ECCV 2024,2024,Sparse-View,Co-regularization of two randomly initialized GS fields: co-pruning + pseudo-view augmentation for sparse views,
CoR-GS-CVPR,2402.10128,CVPR 2024,2024,Sparse-View,Consistency regularization for sparse-view GS with depth-conditional diffusion priors,
FewViewGS,2411.02229,NeurIPS 2024,2024,Sparse-View,Multi-stage coarse-to-fine training strategy for few-view Gaussian Splatting,
FSGS,2312.00451,ECCV 2024,2024,Sparse-View,SRF geometric prior + 3DGS for few-shot view synthesis,https://github.com/VITA-Group/FSGS
GaussianObject,2312.11461,CVPR 2024,2024,Sparse-View,Object-centric GS from sparse views with depth-regularized Gaussian initialization,https://github.com/Chenyu-Yang-GOAT/GaussianObject
SCGaussian,2411.03637,NeurIPS 2024,2024,Sparse-View,Structure consistency constraint + geometric regularization for sparse-view GS,https://github.com/prstrive/SCGaussian
ABot-3DWorld 0,2607.11673,,2026,World Models & Spatial Intelligence,Universal world model → 3DGS; Spatial Generative Primitive (SGP) + panoramic video reconstruction; multimodal input → explorable 3DGS world; SOTA among open-source methods,
APEIRIA,,arXiv,2026,World Models & Spatial Intelligence,Neuro-symbolic 3D spatial reasoning framework combining 3D MLLM open-vocabulary understanding with programmatic verification; bridges black-box neural reasoning and interpretable symbolic spatial reasoning,
FlashWorld,2510.13677,arXiv 2025,2026,World Models & Spatial Intelligence,Feed-forward 3DGS world model: single forward pass generates dynamic 3D scenes with real-time interaction,
GWM,2508.17600,arXiv 2025,2026,World Models & Spatial Intelligence,Gaussian World Model: 3DGS as environment dynamics modeling primitive with autoregressive future state prediction for interactive world simulation,
Holi-Spatial,,arXiv,2026,World Models & Spatial Intelligence,"Evolving Video Streams into Holistic 3D Spatial Intelligence; fully automated spatial data construction framework from raw video; 4M+ spatial multimodal samples; covers 3D reconstruction, depth, 2D mask, 3D bbox, instance description, 3D grounding, spatial QA (Shanghai AI Lab, NWPU, SJTU)",
MRO-GWM,2606.01950,arXiv 2026,2026,World Models & Spatial Intelligence,Object-centric Gaussian world model for rigid bodies; canonical Gaussian + spatio-temporal transformer predicts rigid body motion; supports model-predictive control,
Spatial-TTT,,ECCV,2026,World Models & Spatial Intelligence,Test-time training for streaming spatial intelligence; 2B-parameter model surpasses GPT-5 and Gemini-3-pro on spatial benchmarks; continuous spatial memory update from long-form video streams; 40%+ savings in VRAM and compute,
S²AM3D,,arXiv,2026,World Models & Spatial Intelligence,Scale-controllable 3D point cloud arbitrary part segmentation; first model with continuous resolution adaptation,
ArtMesh,2605.16582,arXiv 2026,2026,Human & Avatar,Part-aware articulated mesh field with restricted Delaunay remeshing + bidirectional vertex-wise motion consistency,
CapTalk,2605.29316,arXiv,2026,Human & Avatar,Text-guided stylization and speech-driven 3D head animation; separate control over style and emotion; dynamic emotion during inference,
COSY,2605.24114,arXiv,2026,Human & Avatar,Compositional GAN generates hair/skin/glasses/torso independently for disentangled head editing,
D-Rex,2604.27871,SIGGRAPH 2026,2026,Human & Avatar,Diffusion post-process relighting for expressive avatars,
DelightingFace,2605.05636,SIGGRAPH 2026 TOG,2026,Human & Avatar,"High-quality facial appearance capture has traditionally required costly studio recording. Recent works consider an in-the-wild smartphone-based setup; however, their model-based inverse rendering ...",
FlexiAvatar,2607.19100,ECCV 2026,2026,Human & Avatar,Unified framework optimizing only visible body regions; SMPL-X tracking + diffusion completion,
Generalizable Human GS,2604.25466,CVPR 2026 Findings,2026,Human & Avatar,Cross-view attention for sparse-view human splatting,
HairGPT,2605.08824,SIGGRAPH 2026 Journal Track,2026,Human & Avatar,Strand-as-Language autoregressive modeling for 3D hairstyle synthesis,
High-Fidelity Human GS,2604.21714,arXiv,2026,Human & Avatar,SMPL-X geometric priors + region-aware initialization,
HumanSplatHMR,2605.02784,arXiv,2026,Human & Avatar,Joint pose refinement + Gaussian avatar optimization,
Large-Scale HQ 3D Gaussian Head,2605.04035,arXiv,2026,Human & Avatar,UV-parameterized 3D Gaussian representation decoupling Gaussian count from input resolution,
Latent Dynamics,2605.21478,arXiv 2026,2026,Human & Avatar,Pose-driven 3DGS avatar with transformer decoder + dynamics residual latent; learned force decomposition (driving/restoring/dissipative) for temporally coherent clothing animation,
Mobile Avatar (Pruned Blendshapes),2605.01854,CVPR 2026,2026,Human & Avatar,High-fidelity mobile avatars with pruned local blendshapes,
